accordance	automatic	1.1428571428571428	[2.0, 0.0, 3.0, 0.0, 1.0, 2.0, 0.0]
bay	tour	0.42857142857142855	[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0]
cough	hawk	4.0	[6.0, 4.0, 6.0, 0.0, 4.0, 4.0, 4.0]
according	agree	6.428571428571429	[6.0, 8.0, 8.0, 4.0, 6.0, 5.0, 8.0]
discovery	formula	2.142857142857143	[1.0, 4.0, 2.0, 4.0, 0.0, 4.0, 0.0]
penny	cent	7.857142857142857	[8.0, 8.0, 8.0, 8.0, 7.0, 8.0, 8.0]
adaptation	collaboration	3.0	[2.0, 2.0, 6.0, 4.0, 4.0, 2.0, 1.0]
communicate	reply	5.857142857142857	[4.0, 6.0, 6.0, 6.0, 8.0, 6.0, 5.0]
succeed	try	3.7142857142857144	[4.0, 3.0, 4.0, 4.0, 4.0, 4.0, 3.0]
adoption	fostering	4.428571428571429	[6.0, 2.0, 6.0, 1.0, 6.0, 4.0, 6.0]
parade	fear	0.5714285714285714	[2.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0]
different	changed	6.142857142857143	[6.0, 8.0, 8.0, 5.0, 8.0, 2.0, 6.0]
adult	person	6.428571428571429	[7.0, 4.0, 6.0, 8.0, 8.0, 6.0, 6.0]
root	bark	4.285714285714286	[4.0, 2.0, 6.0, 4.0, 6.0, 4.0, 4.0]
quiet	meek	6.0	[7.0, 6.0, 4.0, 5.0, 8.0, 4.0, 8.0]
affair	profits	2.0	[2.0, 2.0, 0.0, 2.0, 2.0, 2.0, 4.0]
column	temple	2.857142857142857	[2.0, 2.0, 2.0, 2.0, 4.0, 4.0, 4.0]
automatic	robotic	6.428571428571429	[7.0, 7.0, 6.0, 8.0, 7.0, 6.0, 4.0]
afraid	horrified	7.142857142857143	[7.0, 6.0, 7.0, 6.0, 8.0, 8.0, 8.0]
unit	assembly	4.571428571428571	[4.0, 4.0, 2.0, 4.0, 4.0, 6.0, 8.0]
